date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr,
07/23/2021,Deficit Deadlift 5-3-2-1-2-2-2,"Deficit Deadlift for load: #1: 5 reps @ 50% #2: 3 reps @ 60% #3: 2 reps @ 70% #4: 1 rep @ 80% #5: 2 reps @ 85% #6: 2 reps @ 85% #7: 2 reps @ 85%Conventional Deadlift on 2-4"" riser/platesDEMO: https://www.youtube.com/watch?v=CpWsUsqBtN8",335,335,Load,Deficit Deadlift,"[{""load"":245,""success"":true},{""load"":275,""success"":true},{""load"":295,""success"":true},{""load"":315,""success"":true},{""load"":335,""success"":true},{""load"":335,""success"":true},{""load"":335,""success"":true}]",21 Jul 21 #PredCon => E1:30MOMall rounds @HRPU != ME UN Finisher @StrictHSPU1st Rd @DL/PC 3/2 205# then #KiswitchEngage to #BMD 👹Playlist & #ShutTheWeaknessDownDLz rep scheme IAW Fri => 3/3/2/1/3x2245/275/295/315/3x335,RX,,
07/26/2021,Back Squat 5x6,Back Squat for load: #1: 6 reps @ 55% #2: 6 reps @ 65% #3: 6 reps @ 75% #4: 6 reps @ 80% #5: 6 reps @ 80%,292,292,Load,Back Squat,"[{""load"":205,""success"":true},{""load"":235,""success"":true},{""load"":290,""success"":true},{""load"":290,""success"":true},{""load"":292,""success"":true}]","@DE 1st game back after 4-day break =>205+30# bands @18"" bench235+30#bands+35# chains ⛓️ @18"" bench2x3 255+50#+35# chains ⛓️ @18"" bench2x3 255+35# chains ⛓️ 1x6 257+35# chains ⛓️",RX,,
07/26/2021,Conditioning,10 Minute AMRAP:-@ the 5 minute mark Run 400m-• 6 KB C&J (3L/3R) @53/35lb• 12 KB Swings• 18 Ab-Mat Sit-ups,4,4,Rounds + Reps,,"[{""reps"":0,""rnds"":4}]","@BCANGB track w/ own implements #NS21-2. Hit TC after CJs Rd 4, finished Rd in 10-ish-11-ish",RX,,
07/26/2021,Front Squat 3-3-2-2-1-1,Front Squat for load: #1: 3 reps #2: 3 reps #3: 2 reps #4: 2 reps #5: 1 rep #6: 1 rep,290,290,Load,Front Squat,"[{""load"":135,""success"":true},{""load"":155,""success"":true},{""load"":165,""success"":true},{""load"":155,""success"":true},{""load"":205,""success"":true},{""load"":290,""success"":true}]","(Time) => OTM #Ro3-1 => ""In Waves!""@DE +35# chains ⛓️ =>off 18"" bench sets 1-3,full depth sets 4-6, finished heavy single @255+= new #T1RMFS 🤫",RX,,
07/27/2021,3P Clean 5x1,3P Clean for load: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep #5: 1 rep3-Position Clean (Hip/Knee/Floor),185,185,Load,3P Clean,"[{""load"":185,""success"":true}]",(short time/capacity) lost fight w/ ⏰ #ROpald was gonna just move onto METCON after hitting 🧱 on 3PSn but then @hedPE/Renegade inspired me to give this a go before stripping plates. #SmallVictory,RX,,
07/27/2021,3P Snatch 5x1,3P Snatch for load: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep #5: 1 rep3-Position Snatch (Hip/Knee/Floor),165,165,Load,3P Snatch,"[{""load"":95,""success"":true},{""load"":115,""success"":true},{""load"":125,""success"":true},{""load"":165,""success"":true},{""load"":185,""success"":false}]","165 hit w/ violence 🤬 after 1x miss off floor, 185 on a better sleep night -= all had was hi-pull left in me => tight back = loose t-spine & weak shoulder girdle...🧟‍♂️ SOPd got #RO3pald 🤷",RX,,
07/27/2021,Conditioning,8 rounds for max reps:• 20 sec Hang Power Snatch 95/65#• 10 sec Rest• 20 sec Burpees over bar lateral• 10 sec Rest• 20 sec AbMat Situps• 10 sec Rest,132,132,Reps,,"[{""reps"":28},{""reps"":22},{""reps"":16},{""reps"":28},{""reps"":22},{""reps"":16}]",@2x ea :30/30/:20/:20/:10/:10 WRC 8:00 total35# KB PSRegular in-place BurpeesToe-to-Rings10/8/10 :30s 8/6/8 :20s 6/4/6 :10s,SCALED,,
07/28/2021,Shoulder Press 5-3-2-1-2-2-2,Shoulder Press for load: #1: 5 reps @ 50% #2: 3 reps @ 60% #3: 2 reps @ 70% #4: 1 rep @ 80% #5: 2 reps @ 85% #6: 2 reps @ 85% #7: 2 reps @ 85%,145,145,Load,Shoulder Press,"[{""load"":80,""success"":true},{""load"":95,""success"":true},{""load"":115,""success"":true},{""load"":125,""success"":true},{""load"":145,""success"":true},{""load"":135,""success"":true},{""load"":145,""success"":true}]","stayed tight, nbd. put BW on bar @walkout mind-muscle cnx for fun, possible need to uncage to engage.",RX,,
07/28/2021,Pendlay Row 8-8-8-5,Pendlay Row for load: #1: 8 reps #2: 8 reps #3: 8 reps #4: 5 reps,205,205,Load,Pendlay Row,"[{""load"":135,""success"":true},{""load"":185,""success"":true},{""load"":185,""success"":true},{""load"":205,""success"":true}]",@Superset w/ Floor Press,RX,,
07/28/2021,Press Accessory,A) Floor Press 4 x 6-8 @ 70% 1RM BPB) DB/KB Front Raise 4 x 12-15,205,205,Load,,"[{""load"":135,""success"":true},{""load"":185,""success"":true},{""load"":185,""success"":true},{""load"":205,""success"":true}]",2x12 @18# KB Front Raises buy-in/cash-out,RX,,
07/29/2021,Conditioning,3 minute AMRAP:• 20 Double Unders• 7 Strict Pull-ups,3,3,Rounds + Reps,,"[{""reps"":0,""rnds"":3}]","Didnt meet expectations, had 1x broken DU set & broke to singles last set pulls @4x =>1) 20 UB/7 UB2) 5+15/7 UB3) 20 UB/4+1+1+1to @LoG/Redneck 3-ish w/ transition wipe shoes & put gym-grips on #PoleBarnWOD",RX,,
07/29/2021,Box Jump: Max Height,Box Jump: Max Height,36,36,Inches,,"[{""inches"":36}]","24"" box += 12"" plates => 2x45/35/10/15/25",RX,,
07/29/2021,PC/PJ Complex 5x1,PC/PJ Complex for load: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep #5: 1 repPower Clean + Push Jerk*See notes for rep ROE,235,235,Load,PC/PJ Complex,"[{""load"":145,""success"":true},{""load"":165,""success"":true},{""load"":185,""success"":true},{""load"":215,""success"":true},{""load"":235,""success"":true}]","working w/ what Hi-temps used for todays BJ evolution. not bad for just greasing the gears, last rep got heavy-ish @96% 1RM PJ hit it to #RaiseYourHorns 🤘💥🏋️",RX,,
07/29/2021,Burpees: Max Reps,3 minute AMRAP:Max Rep Burpees,31,31,Reps,,"[{""reps"":31}]",Got HR up to@pprox 150-ishBPM 12-13/:05 OTM => 12/10/11 just moving & trying to get t-spine to engage from SOP shit 😴 w/ #ROpal3,RX,PR,
07/30/2021,Back Rack Lunges 3x10,Back Rack Lunges for load: #1: 10 reps #2: 10 reps #3: 10 reps,80,80,Load,Back Rack Lunges,"[{""load"":70,""success"":true},{""load"":80,""success"":true},{""load"":80,""success"":true}]",1x10 70# KB Alt f/b lunge2x10 80# Ultimate Sandbag,SCALED,,
07/30/2021,DE Deadlift 10x1,DE Deadlift for load: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep #5: 1 rep #6: 1 rep #7: 1 rep #8: 1 rep #9: 1 rep #10: 1 repConventional Deadlift w/ Bands*Ref notes for band ROEDEMO (SUMO DL): https://youtu.be/FNHEoQRsl7E,295,295,Load,DE Deadlift,"[{""load"":295,""success"":true},{""load"":295,""success"":true},{""load"":295,""success"":true},{""load"":295,""success"":true},{""load"":295,""success"":true},{""load"":295,""success"":true},{""load"":295,""success"":true},{""load"":295,""success"":true},{""load"":295,""success"":true},{""load"":295,""success"":true}]",@245#/63% 2RM +50#/20% band resistance off 25# Hi-Temps,RX,,
07/30/2021,Batwings,"For time:• 30 Calorie Bike• 30 Deadlifts (225, 155)• 30 Lateral Bar-over-Burpees*9:00 Cap",455,7:35,Time,,"[{""mins"":7,""secs"":35}]",2:42 30-cal Echo Bike 0:18 Rest/Transition1:30 30# D-Ball Slams0:30 Rest/Gymnastics Grips5-6 10 UB T2B + Rest6-7 10 UB T2B + Rest7-7:35 10 UB T2B,SCALED,PR,
07/31/2021,Double Unders: 2 Minute Test,Maximum double-unders in 2 minutes.,150,150,Reps,,"[{""reps"":150}]","Snuck out after Bombers game, just logged reps 3x50/:30-ish UB enough to neutralize the brat.",RX,,
08/02/2021,FS/BS Complex 4x6,FS/BS Complex for load: #1: 6 reps #2: 6 reps #3: 6 reps #4: 6 repsFS+BS *See Notes for Rep ROE,185,185,Load,FS/BS Complex,"[{""load"":165,""success"":true},{""load"":185,""success"":true},{""load"":185,""success"":true},{""load"":165,""success"":true}]",w/o belt,RX,,
08/02/2021,Conditioning,"10 minute AMRAP of:• 15 Strict/Kipping* Deficit HSPU 2/1""• 30 BB Weighted Split Jumps 65/45# (each jump counts one rep)*Ref Notes",3,3,Rounds + Reps,,"[{""reps"":0,""rnds"":3}]",5/3/1 Rigid+Hollow/Strict/Deficit HSPU @Tempo 2-2-2-215/10/5 ea Split Js @75#~8:30 @Metallica/DayThatNeverComesSM2,SCALED,,
08/03/2021,Conditioning,4 rounds for total working time of:• Row 500m Or Bike 25 cals• 20 KB Swings 53/35#Rest 1:1 (Dont count rest time),865,14:25,Time,,"[{""mins"":3,""secs"":55},{""mins"":3,""secs"":20},{""mins"":3,""secs"":45},{""mins"":3,""secs"":25}]",1) 25-cal bike @3:00 +20 53# KBS @0:552) 25-cal bike @2:40 +20 53# KBS @0:40//BREAK 3-4 @BCANGB #NS21-2 ⏰🙅//3) 500m row @3:05 +20 50# KBS @0:454) 500m row @2:30 +20 50# KBS @0:45,RX,,
08/03/2021,Split Jerk 5x1,Split Jerk for load: #1: 1 rep @ 65% #2: 1 rep @ 65% #3: 1 rep @ 65% #4: 1 rep @ 65% #5: 1 rep @ 65%,185,185,Load,Split Jerk,"[{""load"":135,""success"":true},{""load"":165,""success"":true},{""load"":165,""success"":true},{""load"":185,""success"":true},{""load"":165,""success"":true}]",w/ todays Hang Clean AFAP for quality/technique/easy,RX,,
08/03/2021,Power Clean 5x1,Power Clean for load: #1: 1 rep @ 65% #2: 1 rep @ 65% #3: 1 rep @ 65% #4: 1 rep @ 65% #5: 1 rep @ 65%,185,185,Load,Power Clean,"[{""load"":135,""success"":true},{""load"":165,""success"":true},{""load"":165,""success"":true},{""load"":185,""success"":true},{""load"":165,""success"":true}]",all reps AFAP off safety spotter bars @just above knee,RX,,
08/04/2021,Conditioning,2 rounds for rounds and time of:• 5:00 AMRAP of “Cindy” (see notes)• Run 400m,240,4:00,Time,,"[{""mins"":4,""secs"":0}]",Did this as @Finisher yesterday @BCANGB after 2x rounds of rowing/KBS:• 1 Round 400m Jog @3:00 (convo pace)• 5 UB BMU,SCALED,,
08/05/2021,Conditioning,"You pick 1X--score Max Distance:1a) 10 Minutes of Farmer Carry (AHAP)1b) 10 Minutes of Sled Pull/Push x (MODERATE)1c) 10 Minutes of Barbell Back Rack Carry (155, 105)1d) 10 Minutes of DBall Carry against stomach x Max Distance OR Sandbag*Finisher:10 Minutes of Easy Recovery i.e. bike, row, jog at a conversational pace.",4962.14,4962.14,Meters,,"[{""meters"":4962.144}]",134.112m += 22 lengths x 20 #Polebarn f/b sled @1/2 BW4828.032m += 3 miles on Echo Bike @115BPM avg HR,RX,PR,
08/05/2021,Active Recovery @Zone 2,Follow Your Heart Today. i.e. focus on moving for quality and keeping the HR b/t 120-140 bpm.*Ref notes for some WOD ideas,1200,20:00,Time,,"[{""mins"":20,""secs"":0}]",Aug #SuperRSD so Real-world GPP today:#driveway250m @3/4BW garbage bin100m FCs @3x2x40# Duracube water softener bags + SDHPsHR up to approx 120-130BPM  @10/:05 beats,RX,,
08/06/2021,Conditioning,For Time:• 50 Double-Unders• 30 Wall-Balls 20/14#• 10 Muscle-Ups/18 C2B+Dips,355,5:55,Time,,"[{""mins"":5,""secs"":55}]","DU @1:00 += 10+40 wtf rope 🤬WB @2:55 += 15+5+5+5 fatigue mgmt 😷BMU @3:30/4:15/5:00/5:30/5:55 += 5x2Respectable given #ROpal3 effects, should be able to hit sub-5 when healthy 🎯",RX,,
08/06/2021,Simple Man,"15-10-5 for Time:• Power Cleans (155, 105)• Front Squat (155, 105)*9:00 Cap",590,9:50,Time,,"[{""mins"":9,""secs"":50}]","#RSD & #Sick #ROpal3 😷 fought thru =>PCs from blocks @just above knee heightBox FS @18"" parallelHit some sort of groove ~mid-way thru sets 10x, rep schemed @5-10-15 minimal warm-up just #Gripd&Ripd",RX,PR,
08/07/2021,Snatch 5-3-2-1-1,Snatch for load: #1: 5 reps @ 50% #2: 3 reps @ 60% #3: 2 reps @ 65% #4: 1 rep @ 70% #5: 1 rep @ 75%,185,185,Load,Snatch,"[{""load"":95,""success"":true},{""load"":135,""success"":true},{""load"":185,""success"":true}]","#SpeedKillz over #RSD lunch break, such a better lifter & mindset in afternoons += #BattleRattle 💥🏋️🤘",RX,,
08/07/2021,Clean & Jerk 5-3-2-1-1,Clean & Jerk for load: #1: 5 reps @ 50% #2: 3 reps @ 60% #3: 2 reps @ 65% #4: 1 rep @ 70% #5: 1 rep @ 75%,225,225,Load,Clean & Jerk,"[{""load"":135,""success"":true},{""load"":185,""success"":true},{""load"":225,""success"":true}]","more #SpeedKillz @PC & PJ for all but last rep each @C & SJ, last rep @225 wasnt as fast as Id like thru clean but the jerk was #Td-Up. All reps were #Raw w/o lifters or belt 💥🏋️🤘",RX,,
08/09/2021,Back Squat 5-3-1-1-1-1,Back Squat for load: #1: 5 reps @ 60% #2: 3 reps @ 70% #3: 1 rep @ 80% #4: 1 rep @ 90% #5: 1 rep @ 92% #6: 1 rep @ 95%,360,360,Load,Back Squat,"[{""load"":185,""success"":true},{""load"":255,""success"":true},{""load"":290,""success"":true},{""load"":340,""success"":true},{""load"":345,""success"":true},{""load"":360,""success"":true}]",Truth: When one is scarier than plates+bar+implements lifting scared becomes null&void. =>SnotMonster Td-Up 👹 #SkinnyJeans & #BMDPlaylist #DarkAloneUnafraid+=35# ⛓️ sets 3-6,RX,,
08/10/2021,Step Up 4x12,Step Up for load: #1: 12 reps #2: 12 reps #3: 12 reps #4: 12 reps,35,35,Load,Step Up,"[{""load"":18,""success"":true},{""load"":20,""success"":true},{""load"":30,""success"":true},{""load"":35,""success"":true}]","6l/6r @KB/MB/D-Ball/KB ^24"" BoxHR up to 120/125/130/140",RX,,
08/11/2021,Conditioning,30-20-10 For time:• Power Snatch (75/55)• Wall Ball (20/14),480,8:00,Time,,"[{""mins"":8,""secs"":0}]",10-10-10 @Rxd loading w/ 1:00 rest b/t for snot expell 🤧work time+= 2:15/2:25/1:25,SCALED,,
08/11/2021,Press Accessory,Perform as 4 Giant Sets:A) Push Press: 6 @ 70%B) 10.10.10 Band Pull-Aparts*Rest 60 seconds,155,155,Load,,"[{""load"":135,""success"":true},{""load"":155,""success"":true}]","BPAs @50lbswhew 😅 fought thru had to hit safety spotter arms after each set PP, expelled some weakness today 💥🏋️🤘",RX,,
08/11/2021,DE Shoulder Press 7x2,DE Shoulder Press for load: #1: 2 reps @ 65% #2: 2 reps @ 65% #3: 2 reps @ 65% #4: 2 reps @ 65% #5: 2 reps @ 65% #6: 2 reps @ 65% #7: 2 reps @ 65%Strict Press w/ Bands and/or Chains*See notes for Accommodated Resistance ROE,130,130,Load,DE Shoulder Press,"[{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":130,""success"":true},{""load"":130,""success"":true},{""load"":130,""success"":true}]","E:45secsets 1-4 banded @95+30sets 5-7 chained @95+35*These got real, was +5-7% on Acc/Res & I felt it target the weakness, had to really dig deep thru press out to keep it explosive",RX,,
08/11/2021,BTN Snatch Grip Strict Press 3x2,"BTN Snatch Grip Strict Press for load: #1: 2 reps @ 45% #2: 2 reps @ 55% #3: 2 reps @ 65%Behind the Neck Snatch Grip Strict Press:- Drive the bar up as fast as possible & focus on the punch- Activate your upper back muscles to finish movement--think ""thru the window""",100,100,Load,BTN Snatch Grip Strict Press,"[{""load"":45,""success"":true},{""load"":65,""success"":true},{""load"":100,""success"":true}]",str8w8/str8w8/+⛓️,RX,,
08/12/2021,Conditioning,3RFT:• 10 C&J (135/95)• Run 800m*25-min Cap,1200,20:00,Time,,"[{""mins"":20,""secs"":0}]","Estimated time, used the @FeelgoodWOD playlist for 7x tracks => 3X Rounds @followed my 🤠 ❤️🔥+= 1) 3x each fwd/bwd @1/2 BW #DIYTireSled around #PoleBarn + 2) 10x CJs @80lbs #UltimateSandbag;@Finisher Ran #Driveway400 in the 🌧️  Take-away: Had HR up to @pprox 144BPM 12/:05. Ready to cut loose tomorrow, sickness🤧🤕 is barely hanging on 💥👹🤘",SCALED,,
08/13/2021,Conditioning,For Time:• 5 Deadlifts (285/195)• 30 Pull Ups• 10 Deadlifts (255/175• 25 T2B• 15 Deadlifts (225/155)• 20 Ring Dips,360,6:00,Time,,"[{""mins"":6,""secs"":0}]",DL 15x2251 Ring MURing Dips @MU height 1x20DL 5x275T2Rings 2x10/1x5,SCALED,,
08/13/2021,Midline,"A) 3x10 Stiff Leg DLB) 3x1:00 Weighted Plank Hold @AHAP, rest 45 sec.*Score e.g. 135# / :40",0,135/:20,Other / Text,,"[{""other"":""135/:20""}]",Mob/Warm-up :20@45#,RX,,
08/13/2021,Deficit Deadlift 3-2-1-2-2-2-2-2,"Deficit Deadlift for load: #1: 3 reps @ 60% #2: 2 reps @ 70% #3: 1 rep @ 80% #4: 2 reps @ 85% #5: 2 reps @ 85% #6: 2 reps @ 85% #7: 2 reps @ 85% #8: 2 reps @ 85%Conventional Deadlift on 2-4"" riser/platesDEMO: https://www.youtube.com/watch?v=CpWsUsqBtN8",365,365,Load,Deficit Deadlift,"[{""load"":275,""success"":true},{""load"":315,""success"":true},{""load"":365,""success"":true},{""load"":205,""success"":true},{""load"":225,""success"":true},{""load"":345,""success"":true},{""load"":345,""success"":true},{""load"":345,""success"":true}]","""Give me your 💔 Give me your 🤕...now I push myself to the threshold...""🤘🤫",RX,,
08/14/2021,Conditioning,"For time:• 100 Burpees*Every minute, starting at 2:00, perform:• 2 Snatches (full) @ 85%/70% of BW (85% men – 70% women)",900,15:00,Time,,"[{""mins"":15,""secs"":0}]","Prepared for #FamCamping 🏕️Split 🪓 wood, hauled stuff, loaded bikes on Pro-Rack",SCALED,,
08/14/2021,Tempo Bench Press 7x2,Tempo Bench Press for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 reps #6: 2 reps #7: 2 reps*Ref notes for tempo ROE,115,115,Load,Tempo Bench Press,"[{""load"":30,""success"":true},{""load"":50,""success"":true},{""load"":50,""success"":true},{""load"":50,""success"":true},{""load"":80,""success"":true},{""load"":100,""success"":true},{""load"":115,""success"":true}]",Tempo Push-ups += Kiddos + Momma!!W/W+O/W+O/A/A+W/A+W+O/M,RX,,
08/19/2021,Conditioning,3 Rounds AFAP of:• 10 Front Squats @Bodyweight• 10 Strict C2B Pull ups• 10 Box Jumps (24/20″)*10:00 Cap,600,10:00,Time,,"[{""mins"":10,""secs"":0}]","2:00 2x5 strict c2b pullz w/ 10x 24"" BJs b/t Finished w/ moving AMRoundsAP to splitting pile #HardwoodPayzOff time 11x mixed rounds 🍒/elm/oak/hickory 🪓💥🤘",SCALED,,
08/19/2021,PC/C Complex 2-2-2-2-2-2-1-1-1-1-1,PC/C Complex for load: #1: 2 reps @ 70% #2: 2 reps @ 75% #3: 2 reps @ 80% #4: 2 reps @ 80% #5: 2 reps @ 80% #6: 2 reps @ 80% #7: 1 rep @ 80% #8: 1 rep @ 80% #9: 1 rep @ 80% #10: 1 rep @ 80% #11: 1 rep @ 80%Power Clean + Clean*See Notes for Rep ROE,205,205,Load,PC/C Complex,"[{""load"":165,""success"":true},{""load"":185,""success"":true},{""load"":0,""success"":true},{""load"":185,""success"":true},{""load"":0,""success"":true},{""load"":205,""success"":true},{""load"":205,""success"":true},{""load"":205,""success"":true},{""load"":205,""success"":true},{""load"":205,""success"":true},{""load"":205,""success"":true}]","Had to dial it in last 2x sets HCL, hit fwd set 5 had to 1/4 FS then ripd it last rep perfect receive & footwork caught hi rebounded w/ explosion stood up fast/easy. Could tell I was fresh legs/back felt strong 🤫💥🤘",RX,,
08/20/2021,Good Morning 10x1,Good Morning for load: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep #5: 1 rep #6: 1 rep #7: 1 rep #8: 1 rep #9: 1 rep #10: 1 rep,220,220,Load,Good Morning,"[{""load"":80,""success"":true},{""load"":130,""success"":true},{""load"":170,""success"":true},{""load"":185,""success"":true},{""load"":220,""success"":true}]",Working thru #BlackSteel & ⛓️ @Blacklist to see if the #BMD tickle would awaken...🤫,RX,,
08/20/2021,Sumo Deadlift 8x1,Sumo Deadlift for load: #1: 1 rep @ 70% #2: 1 rep @ 73% #3: 1 rep @ 75% #4: 1 rep @ 77% #5: 1 rep @ 80% #6: 1 rep @ 84% #7: 1 rep @ 88% #8: 1 rep @ 90%,395,395,Load,Sumo Deadlift,"[{""load"":255,""success"":true},{""load"":275,""success"":true},{""load"":305,""success"":true},{""load"":325,""success"":true},{""load"":345,""success"":true},{""load"":395,""success"":true},{""load"":415,""success"":false},{""load"":400,""success"":false}]","😡 400# denied glory, this got me into #BMD",RX,,
08/20/2021,Deficit Deadlift 4x1,"Deficit Deadlift for load: #1: 1 rep @ 88% #2: 1 rep @ 90% #3: 1 rep @ 93% #4: 1 rep @ 95%Conventional Deadlift on 2-4"" riser/platesDEMO: https://www.youtube.com/watch?v=CpWsUsqBtN8",375,375,Load,Deficit Deadlift,"[{""load"":415,""success"":false},{""load"":415,""success"":false},{""load"":400,""success"":false},{""load"":375,""success"":true}]",came back to log mark after stripping plates down to bare #BlackSteel +45s & 15s off 25s whatever 🤬📴 This needs to be >400# if Im to move needle on this bitch.,RX,,
08/20/2021,Pendlay Row 10-8-5,Pendlay Row for load: #1: 10 reps #2: 8 reps #3: 5 reps,205,205,Load,Pendlay Row,"[{""load"":0,""success"":true},{""load"":0,""success"":true},{""load"":205,""success"":true}]","after weak DL marks, stripped plates down to bare #BlackSteel & just moved weight 😡",RX,,
08/23/2021,Back Squat 2-2-2-2-6,Back Squat for load: #1: 2 reps @ 85% #2: 2 reps @ 85% #3: 2 reps @ 85% #4: 2 reps @ 85% #5: 6 reps @ 80%,330,330,Load,Back Squat,"[{""load"":225,""success"":true},{""load"":295,""success"":true},{""load"":330,""success"":true},{""load"":330,""success"":true},{""load"":300,""success"":true}]","raw @box sets 1-2, @box +belt sets 3-4, full ROM set 5 +belt",RX,,
08/23/2021,Clean 5x2,Clean for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 reps,247,247,Load,Clean,"[{""load"":137,""success"":true},{""load"":167,""success"":true},{""load"":187,""success"":true},{""load"":217,""success"":true},{""load"":247,""success"":true}]","@PC sets 1-3, full sets 4-5, missed 2nd rep on 5th set (short 3rd pull didnt cover 😡) got my shit together & tightened-up 2nd effort played @ChinMusic weak t-spine still fatigued from @Fri DL? stood it up @grind #2RM need += T 🥩 🤘",RX,,
08/23/2021,Core,3 rounds:• 15 Arch Rocks• 10 Rolling V-Ups,25,25,Reps,,"[{""reps"":25}]",#Cashed0ut 🥵,RX,,
08/23/2021,FS/BS Complex 1x15,FS/BS Complex for load: #1: 15 repsFS+BS *See Notes for Rep ROE,225,225,Load,FS/BS Complex,"[{""load"":225,""success"":true}]",@box reps Rxd,SCALED,,
08/23/2021,Conditioning,AMRAP 4rds @0:40/0:20 WRC:• Toes to bar• Rest• Alternating Hang KB Snatch (53/35lb)• Rest,84,84,Reps,,"[{""reps"":84}]",10+5/510+5/510+5/55+3+2+7/7🥵 @gripFatigue held the line 💥🤘🤫,RX,,
08/24/2021,Squat Pause Snatch 4x1,Squat Pause Snatch for load: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep,185,185,Load,Squat Pause Snatch,"[{""load"":185,""success"":true},{""load"":185,""success"":true},{""load"":205,""success"":false},{""load"":185,""success"":true}]","P.Pull/P.Pull-Under/P.Pull-Under/P.Full felt explosive, weights felt light-ish high humidity bar grip was an issue 🥵🤫",RX,,
08/24/2021,3P Snatch 5x1,3P Snatch for load: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep #5: 1 rep3-Position Snatch (Hip/Knee/Floor),137,137,Load,3P Snatch,"[{""load"":75,""success"":true},{""load"":95,""success"":true},{""load"":137,""success"":true}]",just mobn-up til felt lil resistance,RX,,
08/25/2021,Press Accessory,"Complete 3x Giant Sets of:A) 30 Sec Handstand HoldB) ME Ring DipC) 10 Band Pull apart* Rest 1:1, Score total Ring Dips.",33,33,Reps,,"[{""reps"":33}]",10+11+12 ring dips @MU heightBPAs @50lbs#SmallVictory #MERingDips 🤫🤬Yeah,RX,,
08/25/2021,Shoulder Press 4x1,Shoulder Press for load: #1: 1 rep @ 88% #2: 1 rep @ 90% #3: 1 rep @ 93% #4: 1 rep @ 95%,150,150,Load,Shoulder Press,"[{""load"":80,""success"":true},{""load"":95,""success"":true},{""load"":125,""success"":true},{""load"":150,""success"":true}]",#InChains ⛓️,RX,,
08/25/2021,Push Press 3x2,Push Press for load: #1: 2 reps @ 80% #2: 2 reps @ 85% #3: 2 reps @ 90%,207,207,Load,Push Press,"[{""load"":187,""success"":true},{""load"":217,""success"":false},{""load"":207,""success"":true}]",Fought thru DOMS 🤫,RX,,
08/26/2021,GPP,"Follow your heart today.For example: Loaded Carries, #HardwoodPaysOff, Sandbag, TGUs, sled...something that gets you moving for quality for 20-30+ minutes.*Wear a Heart-Rate Monitor if applicable & log your accomplishments.More ideas:1) https://www.t-nation.com/training/predator-conditioning2) https://www.t-nation.com/training/running-man3) https://www.t-nation.com/training/the-very-best-20-minute-workouts",1800,30:00:00,Time,,"[{""mins"":30,""secs"":0}]","Alt b/t 1-ish mins Echo Bike & 2:00 Light Sled-Pull Power Walking += all work done wearing 45lb vest, HR avg @pprox 135bpm 11-12/:05 #DoWork",RX,,
08/27/2021,Deficit Deadlift 5x2,"Deficit Deadlift for load: #1: 2 reps @ 70% #2: 2 reps @ 70% #3: 2 reps @ 70% #4: 2 reps @ 70% #5: 2 reps @ 70%Conventional Deadlift on 2-4"" riser/platesDEMO: https://www.youtube.com/watch?v=CpWsUsqBtN8",275,275,Load,Deficit Deadlift,"[{""load"":275,""success"":true},{""load"":275,""success"":true},{""load"":275,""success"":true},{""load"":275,""success"":true},{""load"":275,""success"":true}]","Raw/Strapd hi-humidity, working fatigued after yesterdays multi-GPP efforts @FD to #69RO3 move, dialed in technique stayed tight. #GrindForGainzZz 🥵🤘",RX,,
08/28/2021,Active Recovery @Zone 2,Follow Your Heart Today. i.e. focus on moving for quality and keeping the HR b/t 120-140 bpm.*Ref notes for some WOD ideas,1800,30:00:00,Time,,"[{""mins"":30,""secs"":0}]","loaded #GorillaCart Sled-Pull Power Walking @5x rounds of maple/cherry20x 🍁🍒 Loaded Carries & Power Cleans, Freshened up a mock-scrape",RX,,
08/30/2021,Mind-Muscle Connection,1) Back Squat Static Hold** 5 x 10s. R:20 @ new 1RM PR2) Back Squat: 1 x 15 @ 30%*Score is New 1RM / 30% 1RM e.g. 405 / 130**See Notes,0,405/137,Other / Text,,"[{""other"":""405/137""}]","A lot needs to align for this to happen. 405# is Fn heavy, if I can get it out of the hole I own it as I had to 1/4 hack squat off the safety spotter arms & didnt blood-eagle.",RX,,
08/30/2021,2021 CrossFit Games Event 9,"21-15-9 for time:• C2 row/Echo bike (cals)• Snatch, 75/105 lb.*Time cap: 8 min. (Note implement in comments)",479,7:59,Time,,"[{""mins"":7,""secs"":59}]",20-15-10 Echo Bike cals5-5-5 Power Snatch @115Scale this to @VirtualGames -= 95lb. & #redo when not so 🤧🥵,SCALED,PR,
08/31/2021,Move for Quality,4 sets NFT (not for time) of:• 6-10 Wallballs• 8-12 Push-ups,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,,
